Date,Chapter,Day,Exercises link
Mon 31 Oct,0 - Prerequisites,W0D1,arena-w0d1.streamlitapp.com
Tue 01 Nov,0 - Prerequisites,W0D2,arena-w0d2.streamlitapp.com
Wed 02 Nov,0 - Prerequisites,W0D3,arena-w0d3.streamlitapp.com
Thu 03 Nov,0 - Prerequisites,W0D4,arena-w0d4.streamlitapp.com
Fri 04 Nov,0 - Prerequisites,W0D5,arena-w0d5.streamlitapp.com
Sat 05 Nov,,,
Sun 06 Nov,,,
Mon 07 Nov,1 - Transformers,W1D1,arena-w1d1.streamlitapp.com
Tue 08 Nov,1 - Transformers,W1D2,arena-w1d2.streamlitapp.com
Wed 09 Nov,1 - Transformers,W1D3,arena-w1d3.streamlitapp.com
Thu 10 Nov,1 - Transformers,W1D4,arena-w1d3.streamlitapp.com
Fri 11 Nov,1 - Transformers,W1D5,arena-w1d3.streamlitapp.com
Sat 12 Nov,,,
Sun 13 Nov,,,
Mon 14 Nov,1 - Transformers,W2D1,arena-w2d1.streamlitapp.com
Tue 15 Nov,1 - Transformers,W2D2,arena-w2d1.streamlitapp.com
Wed 16 Nov,2 - Scaling Laws,W2D3,
Thu 17 Nov,2 - Scaling Laws,W2D4,
Fri 18 Nov,2 - Scaling Laws,W2D5,
Sat 19 Nov,,,
Sun 20 Nov,,,
Mon 21 Nov,3 - Optimisation,W3D1,
Tue 22 Nov,3 - Optimisation,W3D2,
Wed 23 Nov,4 - Modeling Objectives,W3D3,
Thu 24 Nov,4 - Modeling Objectives,W3D4,
Fri 25 Nov,4 - Modeling Objectives,W3D5,
Sat 26 Nov,,,
Sun 27 Nov,,,
Mon 28 Nov,4 - Modeling Objectives,W4D1,
Tue 29 Nov,4 - Modeling Objectives,W4D2,
Wed 30 Nov,5 - Training at Scale,W4D3,
Thu 01 Dec,5 - Training at Scale,W4D4,
Fri 02 Dec,5 - Training at Scale,W4D5,
Sat 03 Dec,,,
Sun 04 Dec,,,
Mon 05 Dec,5 - Training at Scale,W5D1,
Tue 06 Dec,5 - Training at Scale,W5D2,
Wed 07 Dec,6 - RL,W5D3,
Thu 08 Dec,6 - RL,W5D4,
Fri 09 Dec,6 - RL,W5D5,
Sat 10 Dec,,,
Sun 11 Dec,,,
Mon 12 Dec,6 - RL,W6D1,
Tue 13 Dec,6 - RL,W6D2,
Wed 14 Dec,6 - RL,W6D3,
Thu 15 Dec,7 - Interpretability,W6D4,
Fri 16 Dec,7 - Interpretability,W6D5,
Sat 17 Dec,,,
Sun 18 Dec,,,
Mon 19 Dec,7 - Interpretability,W7D1,
Tue 20 Dec,7 - Interpretability,W7D2,
Wed 21 Dec,7 - Interpretability,W7D3,
Thu 22 Dec,7 - Interpretability,W7D4,
Fri 23 Dec,7 - Interpretability,W7D5,
Sat 24 Dec,,,
Sun 25 Dec,,,
Mon 26 Dec,,,
Tue 27 Dec,,,
Wed 28 Dec,,,
Thu 29 Dec,,,
Fri 30 Dec,,,
Sat 31 Dec,,,
Sun 01 Jan,,,
Mon 02 Jan,8 - Adversarial Training,W8D1,
Tue 03 Jan,8 - Adversarial Training,W8D2,
Wed 04 Jan,8 - Adversarial Training,W8D3,
Thu 05 Jan,9 - Capstone Projects,W8D4,
Fri 06 Jan,9 - Capstone Projects,W8D5,
Sat 07 Jan,,,
Sun 08 Jan,,,
Mon 09 Jan,9 - Capstone Projects,W9D1,
Tue 10 Jan,9 - Capstone Projects,W9D2,
Wed 11 Jan,9 - Capstone Projects,W9D3,
Thu 12 Jan,9 - Capstone Projects,W9D4,
Fri 14 Jan,9 - Capstone Projects,W9D5,
